"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9569","valid user should login successfully","webkit","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","2292","user should add product to cart","chromium","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","3244","user should add product to cart","firefox","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","18880","get started link","webkit","2026-05-25","passed","2026-05-25","","example.spec.ts","",""
"","6847","get started link","chromium","2026-05-25","passed","2026-05-25","","example.spec.ts","",""
"","2991","user should logout successfully","chromium","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","13085","has title","firefox","2026-05-25","passed","2026-05-25","","example.spec.ts","",""
"","12472","invalid login should show error message","firefox","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","6848","user should add product to cart","webkit","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","19032","has title","webkit","2026-05-25","passed","2026-05-25","","example.spec.ts","",""
"","6269","user should logout successfully","firefox","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","18018","invalid login should show error message","webkit","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","15936","valid user should login successfully","firefox","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","6278","invalid login should show error message","chromium","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","9634","get started link","firefox","2026-05-25","passed","2026-05-25","","example.spec.ts","",""
"","7674","user should logout successfully","webkit","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","6909","valid user should login successfully","chromium","2026-05-25","passed","2026-05-25","Login Feature","ui\login.spec.ts","",""
"","6480","has title","chromium","2026-05-25","passed","2026-05-25","","example.spec.ts","",""
